SiteNumber,Type,LocationID,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,ARPLatitudeS,Latitude,ARPLongitudeS,Longitude,Elevation,ChartName,ActiviationDate,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights
24285.81*A,AIRPORT,3T2,ASW,TEX,TX,TEXAS,BRAZORIA,TX,MANVEL,WOLFE AIR PARK,PR,PU,106124.7,29.47908333,343175.6,-95.32655556,55,HOUSTON,1/1/1981,,,,
24287.4*A,AIRPORT,92TE,ASW,TEX,TX,TEXAS,BREWSTER,TX,MARATHON,CHANEY SAN FRANCISCO RANCH,PR,PR,107880.675,29.96685417,370561.587,-102.9337742,3250,SAN ANTONIO,6/1/1964,,,,
24287.41*A,AIRPORT,5TE5,ASW,TEX,TX,TEXAS,BREWSTER,TX,MARATHON,IRON MOUNTAIN RANCH,PR,PR,108985.598,30.27377722,371651.628,-103.2365633,4313,EL PASO,8/1/1976,,,,
24287.29*A,AIRPORT,6TE2,ASW,TEX,TX,TEXAS,BREWSTER,TX,MARATHON,LOS MUERTOS,PR,PR,108738.6,30.20516667,371703.4,-103.2509444,4034,,2/1/2015,,,,
24287.411*A,AIRPORT,48XS,ASW,TEX,TX,TEXAS,BREWSTER,TX,MARATHON,MARAVILLAS GAP RANCH,PR,PR,107735.652,29.92657,371861.636,-103.2948989,3325,EL PASO,6/1/1978,,,,
24288.3*A,AIRPORT,93TE,ASW,TEX,TX,TEXAS,BREWSTER,TX,MARATHON,MAYHEW RANCH NR 1,PR,PR,107314.689,29.80963583,370470.585,-102.9084958,2783,SAN ANTONIO,10/1/1963,,,,
24287.51*A,AIRPORT,TA64,ASW,TEX,TX,TEXAS,BREWSTER,TX,MARATHON,PERSIMMON GAP RANCH,PR,PR,106923.3,29.70091667,371340,-103.15,2680,EL PASO,5/1/2007,,,,
24287.5*A,AIRPORT,09TS,ASW,TEX,TX,TEXAS,BREWSTER,TX,MARATHON,PITCOCK ROSILLOS MOUNTAIN RANCH,PR,PR,106136.708,29.48241889,371393.614,-103.1648928,3100,EL PASO,4/1/1986,,,,
24287.42*A,AIRPORT,6TX9,ASW,TEX,TX,TEXAS,BREWSTER,TX,MARATHON,STOVALL RANCH NR 4,PR,PR,107477.688,29.85491333,370049.562,-102.791545,3010,SAN ANTONIO,8/1/1976,,,,
24291.441*A,AIRPORT,XS03,ASW,TEX,TX,TEXAS,BURNET,TX,MARBLE FALLS,HERBERT RANCH,PR,PR,109732.694,30.48130389,353812.074,-98.28113167,1140,SAN ANTONIO,2/1/1975,,,,
